,wg_1_w,wg_1_p_1_x,wg_1_p_1_y,wg_1_p_2_x,wg_1_p_2_y,wg_1_p_3_x,wg_1_p_3_y,wg_1_p_4_x,wg_1_p_4_y,wg_2_w,wg_2_p_1_x,wg_2_p_1_y,wg_2_p_2_x,wg_2_p_2_y,wg_2_p_3_x,wg_2_p_3_y,wg_2_p_4_x,wg_2_p_4_y
tm1_1.526,,,-0.014609128149410414,-0.20873883029558774,-0.014609128149410414,0.2787938472827813,-0.012646970305476887,,-0.012646970305476887,,,0.007371701665102665,-0.016808093784399517,0.007371701665102665,-0.05361190680087608,0.004933637293540132,,0.004933637293540132
tm1_1.53,,,-0.013973353035712566,-0.20939863398614705,-0.013973353035712566,0.27817120120898575,-0.012660789888008415,,-0.012660789888008415,,,0.007989338132393626,-0.01752073606723955,0.007989338132393626,-0.053032900726468074,0.004828571688853303,,0.004828571688853303
tm1_1.534,,,-0.013289059875980544,-0.21053725865012005,-0.013289059875980544,0.2776507601735543,-0.01262269649473326,,-0.01262269649473326,,,0.008655870717053737,-0.018503764226092862,0.008655870717053737,-0.05239904154677096,0.004794887262034719,,0.004794887262034719
tm1_1.538,,,-0.012761003336771359,-0.21184075588145557,-0.012761003336771359,0.2771783782873319,-0.012364640927982182,,-0.012364640927982182,,,0.009492117069648939,-0.019678243699342526,0.009492117069648939,-0.051855061948469214,0.004739906887725775,,0.004739906887725775
tm1_1.542,,,-0.012661082726359381,-0.21293898287199878,-0.012661082726359381,0.2766208803165567,-0.011699916007489066,,-0.011699916007489066,,,0.010684702007912565,-0.02089133937906805,0.010684702007912565,-0.051469442476460604,0.0045324572915393085,,0.0045324572915393085
tm1_1.546,,,-0.013175708738774793,-0.213365873163819,-0.013175708738774793,0.2756836593434312,-0.010430591598302607,,-0.010430591598302607,,,0.012404268114670254,-0.02203688758444756,0.012404268114670254,-0.051146776533375876,0.0040589883560687955,,0.0040589883560687955
tm1_1.55,,,-0.013868760347290053,-0.21383800634380895,-0.013868760347290053,0.27455972532523065,-0.009562964714598294,,-0.009562964714598294,,,0.013617327165319514,-0.022973070663790163,0.013617327165319514,-0.05138566459342225,0.003760811915640714,,0.003760811915640714
tm1_1.554,,,-0.014101971574939554,-0.21589894352710848,-0.014101971574939554,0.2740916640645283,-0.010525990371469352,,-0.010525990371469352,,,0.012952394397708879,-0.023586432999715894,0.012952394397708879,-0.053012555728757946,0.00425566318391442,,0.00425566318391442
tm1_1.558,,,-0.014493998505775377,-0.21717397136125782,-0.014493998505775377,0.2731270904049483,-0.01121198353421527,,-0.01121198353421527,,,0.012513602624035237,-0.024134698966813375,0.012513602624035237,-0.05450164369936966,0.00461158735758285,,0.00461158735758285
tm1_1.562,,,-0.014951031463993705,-0.21780145925957062,-0.014951031463993705,0.27193571907483954,-0.011708872064728867,,-0.011708872064728867,,,0.012264428397945436,-0.024576280417918758,0.012264428397945436,-0.05568599504575477,0.004862698478311473,,0.004862698478311473
tm1_1.566,,,-0.01527430154435921,-0.2180183254050497,-0.01527430154435921,0.27060942353876516,-0.01231570111208742,,-0.01231570111208742,,,0.012051117928850552,-0.02486730757009979,0.012051117928850552,-0.056454836860495405,0.005082523195802556,,0.005082523195802556
tm1_1.57,,,-0.015348721390871919,-0.2179565627840916,-0.015348721390871919,0.2691352792047262,-0.013129499418337746,,-0.013129499418337746,,,0.011951894544485111,-0.02503146546046075,0.011951894544485111,-0.056755072567399666,0.005198312074593454,,0.005198312074593454
tm1_1.574,,,-0.015211905646720257,-0.2176903885108626,-0.015211905646720257,0.2675603178901671,-0.014032932152836032,,-0.014032932152836032,,,0.012178433155086987,-0.025110918858665898,0.012178433155086987,-0.05664188821033433,0.0050530816563913806,,0.0050530816563913806
tm1_1.578,,,-0.014926844274190108,-0.21728860745845172,-0.014926844274190108,0.26595892296058143,-0.014859794522139909,,-0.014859794522139909,,,0.012775767941833863,-0.025157578127295445,0.012775767941833863,-0.05626078512483323,0.004643454255928946,,0.004643454255928946
tm1_1.582,,,-0.014470585009154442,-0.21682957783881954,-0.014470585009154442,0.264324324940733,-0.01551673293680574,,-0.01551673293680574,,,0.01348161460807786,-0.02524773545166191,0.01348161460807786,-0.0558175995753187,0.004226210201052987,,0.004226210201052987
tm1_1.586,,,-0.013848907708748389,-0.2163611804842027,-0.013848907708748389,0.2626169513680913,-0.015950832134172716,,-0.015950832134172716,,,0.01405161593621815,-0.02543406205103137,0.01405161593621815,-0.05548747979978311,0.004015507413558583,,0.004015507413558583
